Next Page Token = CfDJ8Ih_VxHsLwdJhHStLnSaLO8HzpoiMGeCZ09msBcxqXtt2qSjsT-z9mKIBJN6YafNyidDWebdGeBjDuWx-koKCxM
teamId,teamName,submissionDate,score

16381823,Yushin Ito,2026-06-25 10:35:16.516000,1397.8

16391190,keidroid,2026-06-21 05:39:02.040000,1326.8

16382749,tomatomato,2026-06-21 10:04:15.740000,1317.3

16373912,Shun,2026-06-25 02:54:29.023000,1302.3

16377364,πé½πâëπâ⌐πâÉ Kadoraba,2026-06-22 19:24:47.580000,1272.4

16379469,aidy,2026-06-26 02:45:28.373000,1266.7

16381422,Yasuo 0/10/0,2026-06-20 23:47:07.673000,1248.4

16410464,TG_Aetheryx,2026-06-25 09:47:15.836000,1247.7

16381127,Boss's Orders Are All You Need,2026-06-26 06:53:34.560000,1235.4

16399724,Jaga,2026-06-26 04:38:13.896000,1235.2

16375835,yoshimasak,2026-06-23 13:51:51.966000,1223.4

16376649,ysakuragi,2026-06-23 12:55:06.903000,1216.1

16385372,kashiwashira,2026-06-26 12:11:55.990000,1212.8

16372292,yamy893,2026-06-21 09:30:46.186000,1211.3

16392727,Gotem Penguin,2026-06-25 17:57:38.210000,1207.7

16380893,Kimiaki Nakamura,2026-06-25 10:15:29.880000,1206.3

16389299,yomogi mochi,2026-06-21 10:41:21.536000,1206.0

16395361,milix,2026-06-19 15:55:31.646000,1193.7

16399036,nattomaki,2026-06-26 03:07:32.740000,1190.6

16374579,uuji-qvp,2026-06-22 18:29:55.656000,1189.6

